Allen's swamp monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
L'Hoest's monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Preuss's monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Sun-tailed monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Agile mangabey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Collared mangabey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Golden-bellied mangabey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Sanje mangabey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Sooty mangabey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Tana River mangabey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
White-naped mangabey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Blue monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Campbell's mona monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Crested mona monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
De Brazza's monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Dent's mona monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Diana monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Greater spot-nosed monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Hamlyn's monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Lesser spot-nosed monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Lesula,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Lowe's mona monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Mona monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Moustached guenon,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Red-eared guenon,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Red-tailed monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Roloway monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Sclater's guenon,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
White-throated guenon,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Wolf's mona monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Bale Mountains vervet,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Dryas monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Green monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Grivet,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Malbrouck,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Tantalus monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Vervet monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Blue Nile patas monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Common patas monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Southern patas monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Black crested mangabey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Grey-cheeked mangabey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Toque macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Arunachal macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Assam macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Barbary macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Bonnet macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Booted macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Celebes crested macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Crab-eating macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Formosan rock macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Gorontalo macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Heck's macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Japanese macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Lion-tailed macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Moor macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Muna-Buton macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Northern pig-tailed macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Pagai Island macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Rhesus macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Siberut macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Southern pig-tailed macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Stump-tailed macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Tibetan macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Tonkean macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
White-cheeked macaque,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Drill,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Mandrill,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Angolan talapoin,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Gabon talapoin,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Chacma baboon,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Guinea baboon,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Hamadryas baboon,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Kinda baboon,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Olive baboon,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Yellow baboon,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Kipunji,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Gelada,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Angola colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Black colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
King colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Mantled guereza,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Ursine colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Proboscis monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Bouvier's red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Foa's red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Lomami red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Lang's red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Miss Waldron's red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Niger Delta red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Oustalet's red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Pennant's colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Preuss's red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Semliki red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Tana River red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Thollon's red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Udzungwa red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Ugandan red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Western red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Zanzibar red colobus,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Black Sumatran langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Black-crested Sumatran langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Black-and-white langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
East Sumatran banded langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Hose's langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Javan surili,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Maroon leaf monkey,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Siberut langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Mentawai langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Miller's langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Mitered langur,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Natuna Island surili,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
